A1A6H3	6ILR;6ILS;6ILT;	RBSK At1g17160 F20D23.14 Ribokinase, AtRBSK, RK, EC 2.7.1.15
Q84KJ5	2IJG;2J4D;2VTB;	CRYD CRY3 At5g24850 F6A4.60 Cryptochrome DASH, chloroplastic/mitochondrial (Cryptochrome-3)
Q84MC2	1YDH;2Q4D;	LOG8 At5g11950 F14F18.120 Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG8, EC 3.2.2.n1 (LOG family protein At5g11950) (Protein LONELY GUY 8)
Q84MC7	3OQU;3W9R;	PYL9 RCAR1 At1g01360 F6F3.16 Abscisic acid receptor PYL9 (ABI1-binding protein 4) (PYR1-like protein 9) (Regulatory components of ABA receptor 1)
Q84W65	4PUI;	SUFE1 EMB1374 SUFE At4g26500 M3E9.70 SufE-like protein 1, chloroplastic/mitochondrial (Chloroplastic SufE, CpSufE) (Protein EMBRYO DEFECTIVE 1374) (Protein SULFUR E, AtSUFE) (Protein SULFUR E 1, AtSUFE1)
Q84W66	5G49;	NFYB6 L1L At5g47670 MNJ7.26 Nuclear transcription factor Y subunit B-6, AtNF-YB-6, AtNF-YB6 (Protein LEAFY COTYLEDON 1-LIKE)
Q84W98	5GIJ;5GR9;5JFI;	CLE41 At3g24770 K7P8.35 CLAVATA3/ESR (CLE)-related protein 41 (Tracheary element differentiation inhibitory factor-like protein, TDIF-like protein) [Cleaved into: CLE41p ]
Q84WK4	6AVV;6AVW;6AVX;	SOBER1 At4g22305 Carboxylesterase SOBER1, EC 3.1.1.- (Phospholipase A2 SOBER1) (Protein SUPPRESSOR OF AVRBST-ELICITED RESISTANCE 1)
Q84XU2	5JJT;7OBE;	PAPP5 PP5 At2g42810 F7D19.19 Serine/threonine-protein phosphatase 5, EC 3.1.3.16
Q84Y95	2MMA;3IPZ;	GRXS14 CXIP1 GRX5P GRXCP At3g54900 F28P10.120 Monothiol glutaredoxin-S14, chloroplastic, AtGRXcp, AtGrxS14 (CAX-interacting protein 1, CXIP1)
Q8GS60	5DQR;	HCAR HMCR At1g04620 T1G11.13 7-hydroxymethyl chlorophyll a reductase, chloroplastic, EC 1.17.7.2
Q8GUI6	5YKN;5YKO;	JMJ14 JMJ4 PKDM7B At4g20400 F9F13.50 Lysine-specific demethylase JMJ14, EC 1.14.11.67 (Jumonji domain-containing protein 14, Protein JUMONJI 14) (Jumonji domain-containing protein 4, AtJmj4) (Lysine-specific histone demethylase JMJ14) ([histone H3]-trimethyl-L-lysine(4) demethylase JMJ14)
Q8GUJ2	6GRE;	PDLP5 CRRSP2 HWI1 At1g70690 F5A18.13 Plasmodesmata-located protein 5, PD-located protein 5 (Cysteine-rich repeat protein HWI1) (Cysteine-rich repeat secretory protein 2) (Plasmodesmata localizing protein 5) (Protein HOPW1-1-INDUCED 1)
Q8GUP3	7DE9;	PDS5C At4g31880 F11C18.80 Sister chromatid cohesion protein PDS5 homolog C (Precocious dissociation of sisters protein 5-C, AtPDS5C)
Q8GW78	4Y0C;	CLPT2 CLPS2 At4g12060 F16J13.130 ATP-dependent Clp protease ATP-binding subunit CLPT2, chloroplastic
Q8GWS0	3RHB;3RHC;	GRXC5 At4g28730 F16A16.160 Glutaredoxin-C5, chloroplastic, AtGrxC5
Q8GWW7	1VKP;2Q3U;3H7C;3H7K;	AIH EMB1873 At5g08170 T22D6.110 Agmatine deiminase, EC 3.5.3.12 (Agmatine iminohydrolase) (Protein EMBRYO DEFECTIVE 1873)
Q8GXJ1	6J6T;	HDA15 At3g18520 MYF24_23 Histone deacetylase 15, EC 3.5.1.98
Q8GXJ4	7LZ0;7LZ1;7LZ2;7LZH;7LZI;	GLR3.4 GLR4 GLUR3 At1g05200 YUP8H12.19 Glutamate receptor 3.4, AtGLR3.4 (Glutamate receptor-like protein 3.4) (Ligand-gated ion channel 3.4)
Q8GXV5	4E2Q;4E2S;	UGLYAH UGHY YlbA At4g17050 dl4555w FCAALL.343 (S)-ureidoglycine aminohydrolase, AtUGLYAH, EC 3.5.3.26
Q8GXX0	2HJ3;	ERV1 At1g49880 F10F5.3 FAD-linked sulfhydryl oxidase ERV1, AtErv1, EC 1.8.3.2 (Mitochondrial sulfhydryl oxidase ERV1)
Q8GY31	1T3K;	CDC25 ACR2 ASR STR5 At5g03455 F12E4_220 Dual specificity phosphatase Cdc25, EC 3.1.3.48 (Arath;CDC25) (Arsenate reductase, AtASR) (Arsenate reductase 2, EC 1.20.4.1) (Sulfurtransferase 5, AtStr5)
Q8GY65	6RSN;	SOK4 AUXRP3 At3g46110 F12M12.80 Protein SOSEKI 4, AtSOK4 (Auxin-regulated protein 3, AtAuxRP3)
Q8GY88	3NWJ;	SK2 At4g39540 F23K16.170 Shikimate kinase 2, chloroplastic, AtSK2, EC 2.7.1.71
Q8GY89	6KY4;	SRX At1g31170 F28K20.12 Sulfiredoxin, chloroplastic/mitochondrial, AtSRX, EC 1.8.98.2
Q8GYN5	2NUD;	RIN4 At3g25070 MJL12_1 RPM1-interacting protein 4
Q8GZ29	6AVH;6E1Q;	GH3.15 At5g13370 T22N19.20 Indole-3-acetic acid-amido synthetase GH3.15, EC 6.3.2.- (Auxin-responsive GH3-like protein 15, AtGH3-15) (Protein GRETCHEN HAGEN 3.15)
Q8GZB6	4QEN;4QEO;4QEP;	SUVH4 KYP SDG33 SET33 At5g13960 MAC12.7 Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH4, EC 2.1.1.-, EC 2.1.1.367 (Histone H3-K9 methyltransferase 4, H3-K9-HMTase 4) (Protein KRYPTONITE) (Protein SET DOMAIN GROUP 33) (Suppressor of variegation 3-9 homolog protein 4, Su(var)3-9 homolog protein 4)
Q8H1D4	2N3F;2N3G;2N3H;	DBR4 At3g62800 F26K9.230 Double-stranded RNA-binding protein 4 (dsRNA-binding protein 4, AtDRB4)
Q8H1R0	3R6P;3RT0;3RT2;3UQH;6NWB;6NWC;7MLC;7MLD;	PYL10 RCAR4 At4g27920 T13J8.30 Abscisic acid receptor PYL10 (ABI1-binding protein 8) (PYR1-like protein 10) (Regulatory components of ABA receptor 4)
Q8H7F6	2LWF;	GRXS16 CXIP2 At2g38270 F16M14.20 Bifunctional monothiol glutaredoxin-S16, chloroplastic, AtGrxS16 (Atypical GIY-YIG endonuclease, EC 3.1.-.-) (CAX-interacting protein 2) (CAXIP1-like protein)
Q8L3X9	1W0I;2IX4;	KAS At2g04540 T1O3.5 3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial, EC 2.3.1.41 (Beta-ketoacyl-ACP synthase) (mtKAS)
Q8L6Y1	1VEK;1WIV;	UBP14 TTN6 At3g20630 F3H11_1 K10D20.17 K10D20.26 Ubiquitin carboxyl-terminal hydrolase 14, EC 3.4.19.12 (Deubiquitinating enzyme 14, AtUBP14) (TITAN-6 protein) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)
Q8L6Z4	6XYW;	RPS9M At3g49080 T2J13.70 30S ribosomal protein S9, mitochondrial
Q8L794	5HTR;5HTV;5HTX;	XK1 XK-1 At2g21370 F3K23.13 D-ribulose kinase, D-ribulokinase, EC 2.7.1.47 (Inactive Xylulose kinase 1, Atxk-1)
Q8L7C9	5ECH;5ECI;5ECK;5ECL;5ECM;5ECN;5ECO;5ECP;5ECQ;5ECR;5ECS;	GSTU20 FIP1 At1g78370 F3F9.11 Glutathione S-transferase U20, AtGSTU20, EC 2.5.1.18 (FIN219-interacting protein 1) (GST class-tau member 20)
Q8L7G0	4LDV;4LDW;4LDX;4LDY;6YCQ;	ARF1 At1g59750 F23H11.7 Auxin response factor 1
Q8L7L8	2AJE;	TRP1 At5g59430 F2O15.20 Telomere repeat-binding protein 1, AtTRP1
Q8L940	5K2Z;5K3V;5LNR;5LNS;5LNU;5LNV;5LNW;6HX3;6HXG;6HYE;7LB6;7NHE;7NHF;	PDX13 GIP2 PDX1L3 RSR4 At5g01410 T10O8.120 Pyridoxal 5'-phosphate synthase subunit PDX1.3, AtPDX1.3, AtPDX1;1, PLP synthase subunit PDX1.3, EC 4.3.3.6
Q8L9A0	6XYW;	RPL21M NFD1 At4g30930 F6I18.160 50S ribosomal protein L21, mitochondrial (Protein NUCLEAR FUSION DEFECTIVE 1)
Q8LA16	5XVJ;	AL7 At1g14510 F14L17.29 T5E21.1 PHD finger protein ALFIN-LIKE 7, Protein AL7
Q8LAD7	5IXQ;5IXT;5IYX;	IDA At1g68765 F14K14 Protein IDA (Protein INFLORESCENCE DEFICIENT IN ABSCISSION)
Q8LAH7	1VJI;2Q3R;	OPR1 At1g76680 F28O16.5 12-oxophytodienoate reductase 1, EC 1.3.1.42 (12-oxophytodienoate-10,11-reductase 1, AtOPR1, OPDA-reductase 1) (FS-AT-I)
Q8LAS7	1UHN;2ZFD;	CBL2 SCABP1 At5g55990 MDA7.3 Calcineurin B-like protein 2 (SOS3-like calcium-binding protein 1)
Q8LBP4	5E4W;	ALB3 At2g28800 F8N16.9 Inner membrane protein ALBINO3, chloroplastic
Q8LC53	5XKJ;	EPF2 At1g34245 F23M19 Protein EPIDERMAL PATTERNING FACTOR 2 [Cleaved into: MEPF2 ]
Q8LC68	6JQV;	NRP2 NFA5 At1g18800 F6A14.10 NAP1-related protein 2 (Nucleosome/chromatin assembly factor group A5) (Protein SET homolog 2)
Q8LDU4	2ZXK;2ZXL;3AGA;3AGB;3AGC;	RCCR ACD2 At4g37000 C7A10_360 Red chlorophyll catabolite reductase, chloroplastic, AtRCCR, RCC reductase, EC 1.3.7.12 (Accelerated cell death protein 2)
Q8LGF7	6XOD;	PEX4 UBC21 At5g25760 F18A17.10 Protein PEROXIN-4, AtPEX4 (E2 ubiquitin-conjugating enzyme 21) (Probable ubiquitin-conjugating enzyme E2 21, EC 2.3.2.23) (Ubiquitin carrier protein 21)
Q8LGJ5	7CXZ;	PCO2 HUP43 At5g39890 MYH19.8 Plant cysteine oxidase 2, AtPCO2, EC 1.13.11.20 (Hypoxia-responsive unknown protein 43)
Q8LPL7	6IJM;6IJN;6IJP;6IV5;6J23;6J4T;	MAPDA ADAL At4g04880 N6-mAMP deaminase, AtMAPDA, EC 3.5.4.- (Adenosine deaminase-like protein)
Q8LPQ9	5KXF;	FPA At2g43410 T1O24.15 Flowering time control protein FPA
Q8RX71	4HWH;	BAG4 At3g51780 ATEM1.3 BAG family molecular chaperone regulator 4 (Bcl-2-associated athanogene 4)
Q8RY59	5N9Q;5NGO;5OAO;	RCD1 ATP8 CEO1 At1g32230 F3C3.1 Inactive poly [ADP-ribose] polymerase RCD1 (Protein RADICAL-INDUCED CELL DEATH 1)
Q8RY71	5GQ0;	ESP ESR TASTY At1g54040 F15I1.12 Epithiospecifier protein, AtESP (Protein EPITHIOSPECIFYING SENESCENCE REGULATOR, AtESR)
Q8RY73	6DKN;	DXO1 At4g17620 dl4845w FCAALL.74 NAD-capped RNA hydrolase DXO1, DeNADding enzyme DXO1, EC 3.6.1.-
Q8RY79	6EEI;	ELI5 AADC AAS At2g20340 F11A3.11 Phenylacetaldehyde synthase, AtPAAS, EC 4.1.1.109 (3,4-dihydroxyphenylacetaldehyde synthase, DHPAA synthase, EC 4.1.1.107) (Aromatic L-amino acid decarboxylase) (Aromatic aldehyde synthase, AtAAS)
Q8S307	5ZD4;	BZR1 BIS2 At1g75080 F9E10_7 Protein BRASSINAZOLE-RESISTANT 1 (Protein BIN2 SUBSTRATE 2)
Q8S8I4	5XJO;	EPF1 At2g20875 F5H14 Protein EPIDERMAL PATTERNING FACTOR 1 [Cleaved into: MEPF1 ]
Q8S8P5	6J4G;	WRKY33 At2g38470 T19C21.4 Probable WRKY transcription factor 33 (WRKY DNA-binding protein 33)
Q8S9G8	1UL5;	SPL7 At5g18830 F17K4.80 Squamosa promoter-binding-like protein 7
Q8VXY9	4PXB;4PXC;4PXE;	UAH AAH2 At5g43600 K9D7.10 Ureidoglycolate hydrolase, AtUAH, EC 3.5.1.116 (Allantoate amidohydrolase 2, AtAHH2) (Ureidoglycolate amidohydrolase)
Q8VY16	5U9L;5U9O;6JZF;6JZN;	CDP1 ARC6H PARC6 SUBA2 At3g19180 MVI11.9 Plastid division protein CDP1, chloroplastic (ARC6-homolog protein) (Protein CHLOROPLAST DIVISION SITE POSITIONING 1, AtCDP1) (Protein PARALOG OF ARC6) (Protein STROMULE BIOGENESIS ALTERED 2)
Q8VYF7	4KOP;	WHY2 At1g71260 F3I17.9 Single-stranded DNA-binding protein WHY2, mitochondrial (Protein WHIRLY 2, AtWHY2)
Q8VYP0	6N5U;	HCC1 SCO1-1 At3g08950 T16O11.9 Protein SCO1 homolog 1, mitochondrial (Homolog of the copper chaperone SCO1 member 1, HCC1)
Q8VYR7	5L25;	BOR1 At2g47160 T3D7.3 Boron transporter 1
Q8VYZ0	7DUF;	ORTH2 VIM1 At1g57820 F12K22.14 E3 ubiquitin-protein ligase ORTHRUS 2, EC 2.3.2.27 (Protein VARIANT IN METHYLATION 1) (RING-type E3 ubiquitin transferase ORTHRUS 2)
Q8VZ17	6A5K;6A5M;6A5N;	SUVH6 SDG23 SET23 At2g22740 T9I22.18 Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH6, EC 2.1.1.-, EC 2.1.1.367 (Histone H3-K9 methyltransferase 6, H3-K9-HMTase 6) (Protein SET DOMAIN GROUP 23) (Suppressor of variegation 3-9 homolog protein 6, Su(var)3-9 homolog protein 6)
Q8VZ40	1T1H;	PUB14 At3g54850 F28P10.170 U-box domain-containing protein 14, EC 2.3.2.27 (E3 ubiquitin-protein ligase PUB14) (Plant U-box protein 14) (Prototypical U-box domain protein 14) (RING-type E3 ubiquitin transferase PUB14)
Q8VZS8	3JRQ;3JRS;3KAY;3KDJ;3NEF;3NEG;3NMN;	PYL1 RCAR12 At5g46790 MZA15.21 Abscisic acid receptor PYL1 (ABI1-binding protein 6) (PYR1-like protein 1) (Regulatory components of ABA receptor 9)
Q8W191	6QTT;	HYH BZIP64 At3g17609 MKP6.27 Transcription factor HY5-like (HY5 homolog) (bZIP transcription factor 64, AtbZIP64)
Q8W1S1	2L7C;	DGD2 At4g00550 F6N23.24 Digalactosyldiacylglycerol synthase 2, chloroplastic, EC 2.4.1.241
Q8W453	2RKN;	DIR1 At5g48485 MJE7 Putative lipid-transfer protein DIR1 (Protein DEFECTIVE IN INDUCED RESISTANCE 1)
Q8W4D0	6LKB;	CYP71 At3g44600 F14L2.150 Peptidyl-prolyl cis-trans isomerase CYP71, PPIase CYP71, EC 5.2.1.8 (Cyclophilin of 71 kDa) (Cyclophilin-71, AtCYP71)
Q8W4D8	3VPY;	DDL At3g20550 K10D20.9 FHA domain-containing protein DDL (Protein DAWDLE)
Q8W4J8	4RS9;4YWC;	TIFY7 JAZ9 At1g70700 F5A18.12 Protein TIFY 7 (Jasmonate ZIM domain-containing protein 9)
Q8W4L5	5YUG;5YUH;5YZY;5YZZ;5Z00;6FAS;6J9A;	VAL1 HSI2 At2g30470 T6B20.17 B3 domain-containing transcription repressor VAL1 (Protein HIGH-LEVEL EXPRESSION OF SUGAR-INDUCIBLE 2) (Protein VP1/ABI3-LIKE 1)
Q8W595	2LXE;	SUVR4 SDG31 SET31 At3g04380 T27C4.2 Histone-lysine N-methyltransferase SUVR4, EC 2.1.1.-, EC 2.1.1.366 (Protein SET DOMAIN GROUP 31) (Suppressor of variegation 3-9-related protein 4, Su(var)3-9-related protein 4)
Q93V56	4LUG;5LS0;	PPA1 At1g01050 T25K16.5 Soluble inorganic pyrophosphatase 1, EC 3.6.1.1 (Pyrophosphate phospho-hydrolase 1, PPase 1)
Q93VA3	2CE0;2CE1;2DGE;2V07;	PETJ At5g45040 K21C13.23 Cytochrome c6, chloroplastic (Cytochrome c-552, Atc6) (Cytochrome c-553) (Cytochrome c553) (Soluble cytochrome f)
Q93VD3	4CZT;4CZU;	CIPK23 LKS1 PKS17 SnRK3.23 At1g30270 F12P21.6 CBL-interacting serine/threonine-protein kinase 23, EC 2.7.11.1 (Protein LOW-K(+)-SENSITIVE 1) (SNF1-related kinase 3.23) (SOS2-like protein kinase PKS17)
Q93VK5	6J94;6J95;6L8I;6L8J;	CYP97A3 LUT5 At1g31800 F5M6.19 Protein LUTEIN DEFICIENT 5, chloroplastic, EC 1.14.-.- (Cytochrome P450 97A3)
Q93VP3	3HKS;	ELF5A-2 FBR12 At1g26630 T24P13.1 Eukaryotic translation initiation factor 5A-2, AtELF5A-2, eIF-5A-2 (Protein FUMONISIN B1-RESISTANT 12)
Q93VR3	2C54;2C59;2C5A;2C5E;	At5g28840 F7P1.20 GDP-mannose 3,5-epimerase, GDP-Man 3,5-epimerase, EC 5.1.3.18
Q93W20	2Z51;	NIFU2 CNFU2 NFU2 At5g49940 K9P8.16 NifU-like protein 2, chloroplastic, AtCNfu2, AtCnfU-V
Q93WL3	4Y0B;	CLPT1 CLPS1 At4g25370 T30C3.40 ATP-dependent Clp protease ATP-binding subunit CLPT1, chloroplastic (nClpC-like protein)
Q93WX6	4Q75;4Q76;	NFS2 CpNIFS CpNIFS1 At1g08490 T27G7.17 Cysteine desulfurase 1, chloroplastic, EC 2.8.1.7 (NIFS-like protein 1, CpNifS1) (Plastid sufS-like protein) (Protein AtCpNifS) (Selenocysteine lyase, EC 4.4.1.16)
Q93YN9	2XAL;2XAM;2XAN;2XAO;2XAR;3UDS;3UDT;3UDZ;4AQK;4AXC;4AXD;4AXE;4AXF;4LV7;6FJK;6FL3;6FL8;6GFG;6GFH;	IPK1 At5g42810 MJB21.19 Inositol-pentakisphosphate 2-kinase, EC 2.7.1.158 (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase, AtIPK1, InsP5 2-kinase)
Q93YQ1	5WBI;5WBJ;5WBK;5WBL;	RAPTOR1 RAPTOR1B At3g08850 T16O11.22 Regulatory-associated protein of TOR 1 (Protein RAPTOR 1) (Protein RAPTOR 1B, AtRaptor1b)
Q93YT1	6VE8;6VEA;	GLR3.2 GLUR2 At4g35290 F23E12.150 Glutamate receptor 3.2, AtGLR3.2 (AtGluR2) (Glutamate receptor-like protein 3.2) (Ligand-gated ion channel 3.2)
Q93YZ7	6U9H;6VZ8;	At2g31810 F20M17.15 Acetolactate synthase small subunit 2, chloroplastic (Acetohydroxy-acid synthase small subunit, AHAS, ALS)
Q93ZE8	3MAL;	SDF2 At2g25110 F13D4.70 Stromal cell-derived factor 2-like protein, AtSDF2, SDF2-like protein
Q93ZG9	6J2M;6J2Z;	FKBP53 At4g25340 T30C3_20 Peptidyl-prolyl cis-trans isomerase FKBP53, PPIase FKBP53, EC 5.2.1.8 (FK506-binding protein 53, AtFKBP53) (Immunophilin FKBP53) (Rotamase)
Q93ZM9	5T0F;5T0Q;	TIFY9 JAS1 JAZ10 At5g13220 T31B5.40 Protein TIFY 9 (Jasmonate ZIM domain-containing protein 10) (Protein JASMONATE-ASSOCIATED 1) (Protein JAZ10)
Q93ZN9	2Z1Z;2Z20;3EI5;3EI6;3EI7;3EI8;3EI9;3EIA;3EIB;	DAP AGD2 At4g33680 T16L1.170 LL-diaminopimelate aminotransferase, chloroplastic, AtDAP-AT, DAP-AT, DAP-aminotransferase, LL-DAP-aminotransferase, EC 2.6.1.83 (Protein ABERRANT GROWTH AND DEATH 2)
Q940H6	3UC4;3UDB;3UJG;3ZUT;3ZUU;	SRK2E OST1 SNRK2.6 At4g33950 F17I5.140 Serine/threonine-protein kinase SRK2E, EC 2.7.11.1 (Protein OPEN STOMATA 1) (SNF1-related kinase 2.6, SnRK2.6) (Serine/threonine-protein kinase OST1)
Q940U6	4YVO;4YVQ;5CHE;	FLU At3g14110 MAG2.7 Protein FLUORESCENT IN BLUE LIGHT, chloroplastic
Q941C5	2MIE;5GQR;	CLE44 At4g13195 F17N18 CLAVATA3/ESR (CLE)-related protein 44 (Tracheary element differentiation inhibitory factor-like protein, TDIF-like protein) [Cleaved into: CLE44p ]
Q941L0	7CK1;7CK2;7CK3;	CESA3 ATHB CEV1 ELI1 IXR1 RSW5 At5g05170 K2A11.4 Cellulose synthase A catalytic subunit 3 [UDP-forming], AtCesA3, EC 2.4.1.12 (Constitutive expression of VSP1 protein 1) (Isoxaben-resistant protein 1, Ath-B) (Protein ECTOPIC LIGNIN 1) (Protein RADIALLY SWOLLEN 5, AtRSW5)
Q941L3	6KXT;	BON1 CPN1 At5g61900 K22G18.2 Protein BONZAI 1 (COPINE 1)
Q944H0	5WP5;	NMT2 PMEAMT At1g48600 T1N15.22/T1N15.23 T1N15_20 Phosphomethylethanolamine N-methyltransferase, AtPMEAMT, EC 2.1.1.- (Phosphoethanolamine N-methyltransferase 2)
Q944L3	6KPD;	BIB IDD9 IDZ1 At3g45260 F18N11.20 Zinc finger protein BALDIBIS (ID1-like zinc finger protein 1) (Protein indeterminate-domain 9)
Q945M1	7A23;7AQW;7AR8;7ARB;	CIB22 At4g34700 T4L20_280 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (B22 subunit of eukaryotic mitochondrial complex I) (Complex I-B22, AtCIB22, CI-B22) (NADH-ubiquinone oxidoreductase B22 subunit)
Q949P2	4PUT;	CYOP TOP2 At5g10540 F12B17.110 Probable cytosolic oligopeptidase A, EC 3.4.24.70 (Thimet metalloendopeptidase 2) (Zincin-like metalloproteases family protein 2)
Q949P3	1XFI;2Q40;	At2g17340 F5J6.10 Damage-control phosphatase At2g17340, EC 3.1.3.- (Sugar phosphates phosphatase At2g17340)
Q94AG2	4LSC;4LSX;4Z64;5IYX;6FG8;	SERK1 At1g71830 F14O23.21 F14O23_24 Somatic embryogenesis receptor kinase 1, AtSERK1, EC 2.7.10.1, EC 2.7.11.1 (Somatic embryogenesis receptor-like kinase 1)
Q94AI7	5NQS;5NQV;	TPL WSIP1 At1g15750 F7H2.9 Protein TOPLESS (WUS-interacting protein 1)
Q94AM1	4KA7;4KA8;	OOP TOP1 At5g65620 K21L13.14 Organellar oligopeptidase A, chloroplastic/mitochondrial, EC 3.4.24.70 (Thimet metalloendopeptidase 1) (Zincin-like metalloproteases family protein 1)
Q94AT3	7C1X;7C1Y;7C1Z;	PUKI At1g49350 F13F21.22 Pseudouridine kinase, EC 2.7.1.83
Q94AU9	4GR2;	RBCX1 At4g04330 T19B17.5 Chaperonin-like RBCX protein 1, chloroplastic, AtRBCX1
Q94BT6	5SVG;5SVU;5SVV;5SVW;6WLE;6WLP;	ADO1 FKL2 LKP1 ZTL At5g57360 MSF19.2 Adagio protein 1 (Clock-associated PAS protein ZTL) (F-box only protein 2b, FBX2b) (Flavin-binding kelch repeat F-box protein 1-like protein 2, FKF1-like protein 2) (LOV kelch protein 1) (Protein ZEITLUPE)
Q94BU8	7DBF;7DC9;7DCA;7DCB;7DCW;	GSDA TAD4 At5g28050 Guanosine deaminase, EC 3.5.4.15 (tRNA-specific adenosine deaminase TAD4, AtTAD4)
Q94C74	6SMN;6SMW;	SHM2 SHMT2 At5g26780 F2P16.40 Serine hydroxymethyltransferase 2, mitochondrial, AtSHMT2, EC 2.1.2.1 (Glycine hydroxymethyltransferase 2) (Serine methylase 2)
Q94CD5	3VX8;	ATG7 APG7 PEUP4 At5g45900 K15I22.10 Ubiquitin-like modifier-activating enzyme atg7 (ATG12-activating enzyme E1 atg7) (Autophagy-related protein 7, AtAPG7) (Protein PEROXISOME UNUSUAL POSITIONING 4)
Q94CL7	6J4K;6J4R;6J5B;6TO5;6TO9;6TOC;	PHR1 At4g28610 T5F17.60 Protein PHOSPHATE STARVATION RESPONSE 1, AtPHR1
Q94F62	3TL8;3UIM;3ULZ;4M7E;4MN8;	BAK1 ELG SERK3 At4g33430 F17M5.190 BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1, AtBAK1, BRI1-associated receptor kinase 1, EC 2.7.10.1, EC 2.7.11.1 (Protein ELONGATED) (Somatic embryogenesis receptor kinase 3, AtSERK3) (Somatic embryogenesis receptor-like kinase 3)
Q94JQ4	5HP7;5HP8;	RIDA At3g20390 MQC12.15 Reactive Intermediate Deaminase A, chloroplastic, EC 3.5.99.10 (2-iminobutanoate/2-iminopropanoate deaminase)
Q94JU3	3CHM;	CSN7 FUS5 At1g02090 T7I23.24 T7I23.25 COP9 signalosome complex subunit 7, CSN complex subunit 7 (Protein FUSCA 5)
Q94K71	4UAV;	CBBY At3g48420 T29H11.60 CBBY-like protein, AtCbby, EC 3.1.3.-
Q94KI8	5DQQ;5E1J;5TUA;6CX0;6E1K;6E1M;6E1P;7FHK;7FHL;7FHN;7FHO;	TPC1 CCH1 FOU2 At4g03560 F9H3.19 T5L23.5 Two pore calcium channel protein 1 (Calcium channel protein 1, AtCCH1) (Fatty acid oxygenation up-regulated protein 2) (Voltage-dependent calcium channel protein TPC1, AtTPC1)
Q96242	2RCH;2RCL;2RCM;3CLI;3DSI;3DSJ;3DSK;	CYP74A AOS At5g42650 MJB21.2 Allene oxide synthase, chloroplastic, EC 4.2.1.92 (Cytochrome P450 74A) (Hydroperoxide dehydrase)
Q96255	6CZX;6CZY;6CZZ;	PSAT1 At4g35630 F8D20.140 Phosphoserine aminotransferase 1, chloroplastic, AtPSAT1, EC 2.6.1.52 (Phosphohydroxythreonine aminotransferase)
Q96288	6QTU;	BBX24 STO At1g06040 T21E18.8 T21E18.9 B-box zinc finger protein 24 (Salt tolerance protein)
Q96291	5ZTE;	BAS1 At3g11630 F24K9.28 T19F11.3 2-Cys peroxiredoxin BAS1, chloroplastic, 2-Cys Prx A, 2-Cys peroxiredoxin A, EC 1.11.1.24 (Thiol-specific antioxidant protein A) (Thioredoxin-dependent peroxiredoxin BAS1)
Q96323	1GP4;1GP5;1GP6;2BRT;	LDOX At4g22880 F7H19.60 Leucoanthocyanidin dioxygenase, LDOX, Leucocyanidin oxygenase, EC 1.14.20.4 (Anthocyanidin synthase, ANS) (Leucoanthocyanidin hydroxylase) (Protein TANNIN DEFICIENT SEED 4, TDS4) (Protein TRANSPARENT TESTA 11, TT11) (Protein TRANSPARENT TESTA 17, TT17) (Protein TRANSPARENT TESTA 18, TT18)
Q96329	2IX5;2IX6;	ACX4 G6 At3g51840 ATEM1.9 Acyl-coenzyme A oxidase 4, peroxisomal, AOX 4, EC 1.3.3.6 (G6p) (Short-chain acyl-CoA oxidase, AtCX4, AtG6, SAOX)
Q96524	6K8I;6K8K;6M79;6X24;	CRY2 PHH1 SEL20 At1g04400 F19P19.14 Cryptochrome-2, Atcry2 (Blue light photoreceptor) (Protein PHR homolog 1, AtPHH1) (Protein SUPPRESSOR OF elf3 20)
Q96529	1DJ2;	PURA At3g57610 F15B8.200 Adenylosuccinate synthetase, chloroplastic, AMPSase, AdSS, EC 6.3.4.4 (IMP--aspartate ligase)
Q96533	3UKO;4GL4;4JJI;4L0Q;	ADH2 ADHIII FDH1 At5g43940 MRH10.4 Alcohol dehydrogenase class-3, EC 1.1.1.1 (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase, FALDH, FDH, GSH-FDH, EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase, EC 1.1.1.284)
Q9ASY9	2F2G;2Q4X;	TENA_E At3g16990 K14A17.22 K14A17_11 Bifunctional TENA-E protein, EC 3.5.1.-, EC 3.5.99.2 (Aminopyrimidine aminohydrolase) (Formylaminopyrimidine amidohydrolase) (Formylaminopyrimidine deformylase) (Seed maturation protein PM36 homolog)
Q9C5H4	1VDY;2DCP;	MTV1 At3g16270 T02O04.23 Protein MODIFIED TRANSPORT TO THE VACUOLE 1
Q9C5Q8	3HTX;	HEN1 CRM2 At4g20910 T13K14.70 Small RNA 2'-O-methyltransferase, EC 2.1.1.n8 (Protein CORYMBOSA 2) (Protein HUA ENHANCER 1) (S-adenosylmethionine-dependent RNA methyltransferase HEN1)
